Week,Date,Activity,Hours
1,May 4,Cohort meeting,2
1,May 4,Client meeting,1.5
1,May 4,Team meeting,0.5
1,May 4,Independent StatsCan research,1
1,May 5,Client meeting,1
1,May 5,Team meeting,1
1,May 5,Independent CEWS research,2
1,May 5,Initital database EDA,2
1,May 5,Project proposal draft,2
1,May 6,Analysis of capstone deliverables,1
1,May 6,Review of project management tools and templates,1
1,May 6,Independent CEWS research,2
1,May 6,CEWS database data wrangling,2
1,May 6,CEWS database data analysis,1
1,May 6,Project proposal review,0.5
1,May 6,Team communication and catch-up,0.5
1,May 7,Project proposal review,2
1,May 7,Project proposal literature review,1
1,May 7,Project proposal writing,2
1,May 7,CEWS database data analysis,1
1,May 8,Week report templates research,1
1,May 8,Week report guidelines review,1
1,May 8,Week report presentation draft,3
1,May 8,Team communication,0.5
1,May 9,Personal logs update,0.5
1,May 9,Independent CEWS research,1
2,May 10,Research question draft,2
2,May 10,Team work review,2
2,May 10,Team meeting,1
2,May 11,Week report presentation and preparation,2
2,May 11,Client meeting,1.5
2,May 11,Team meeting,1
2,May 11,Minutes writting,0.5
2,May 12,CEWS database data analysis,5
2,May 12,CEWS report,3
2,May 13,CEWS report,8
2,May 14,Client meeting,1.5
2,May 14,Meeting with Eric,0.5
2,May 14,Minutes writting,0.5
2,May 16,CEWS report,7
3,May 17,Personal logs update,0.5
3,May 17,Week report presentation,1
3,May 17,CEWS report,7
3,May 18,Week report presentation and preparation,2
3,May 18,Client meeting,1.5
3,May 18,CEWS report,3
3,May 19,Troubleshooting and installations,4
3,May 19,CEWS report,4
3,May 20,CEWS report,2
3,May 20,API research,3
3,May 21,Client meeting,1
3,May 21,Week report presentation,1
3,May 21,Personal logs update,0.5
3,May 22,API research,3
3,May 23,API research,3
4,May 24,Twitter API research,6
4,May 25,Week report presentation and preparation,2
4,May 25,Twitter API research,4
4,May 26,Twitter API research,3
4,May 26,Twitter API access tasks,3
4,May 27,API report,5
4,May 28,Client meeting,2
4,May 28,Personal logs update,1
4,May 28,Mid-term report presentation,3
4,May 28,API report,3
5,May 31,Twitter API set-up,6
5,June 1,Week report presentation and preparation,4
5,June 1,Team meeting,1
5,June 2,Twitter and sentiment analysis research,5
5,June 3,Twitter API modeling,6
5,June 4,Twitter API modeling,4
5,June 4,Week report presentation,1
5,June 4,Personal logs update,1
5,June 5,Twitter API modeling,3
6,June 7,Twitter API modeling,4
6,June 8,Week report presentation,1
6,June 9,Twitter API modeling,7
6,June 10,API report,4
6,June 10,Client meeting,1.5
6,June 11,Twitter API modeling,5
6,June 13,Personal logs update,0.5
6,June 13,Twitter API modeling,0.5
6,May 13,Week report presentation,1
7,June 14,Final presentation,8
7,June 15,Week report presentation,2
7,June 14,Twitter API modeling,5
7,June 15,API report,1
7,June 15,CEWS report,1
7,June 15,Final report,4
7,June 16,Final presentation,6
7,June 17,Team meeting,0.5
7,June 17,Client meeting,1
7,June 17,Personal logs update,0.5
7,June 17,Minutes writting,0.5
7,June 18,Final presentation,4
7,June 18,Twitter API modeling,4
7,June 19,Final report,8